id,name,lat,lon
0y2w3,"Sturgeon Bay CG Station, WI",44.794,-87.313
13001,NE Extension,12,-23
13002,NE Extension,21,-23
13008,Reggae,15,-38
13009,Lambada,8,-38
14041,,-8,55
14047,,-4,57
14048,,-8,65
14049,,-12,65
15001,Gavotte,-10,-10
15002,Java,0,-10
15006,Valse,-6,-10
15008,,-20,-10
15009,,0,-3.051
1801593,"SD 1077 - 24 NM SSW of San Francisco, CA (Site of 46012)",37.34,-122.94
18ci3,"Michigan City CG Station, IN",41.73,-86.91
20cm4,"St. Joseph CG Station, MI",42.09,-86.49
21413,"SOUTHEAST TOKYO - 700NM ESE of Tokyo, JP",32.1885,158.5130
21414," AMCHITKA - 170 NM South of Amchitka, AK",48.97,178.165
21415,"ATTU - 175 NM South of Attu, AK",50.12,171.867
21416,"KAMCHATKA PENINSULA - 240NM SE of Kamchatka Peninsula, RU ",48.12,163.43
21418,"NORTHEAST TOKYO - 450 NM NE of Tokyo, JP",38.73,148.8
21419,KURIL ISLANDS - 209NM SE of Kuril Is. ,44.401,155.653
21420,SOUTHEAST MIYAZAKI - 260NM Southeast of Miyazaki,28.91,134.999
22101,,37.23,126.02
22102,,34.8,125.77
22103,,34,127.5
22104,,34.77,128.9
22105,,37.53,130
22106,,36.35,129.78
22107,,33.08,126.03
22108,,36.25,125.75
23001,,0,81
23003,,-2,81
23004,,0,90
23006,,4,90
23007,,8,90
23008,,12,90
23009,,15,90
23010,,-4,81
23011,,15,65
23012,,8,67
23013,,4,67
23014,,2,67
23015,,0,67
23016,,-2,67
23019,,-4,65
23217,Bay of Bengal IN3,3.798,91.701
23218,Bay of Bengal IN4,10.165,88.5
23219,Bay of Bengal,13.472,88.998
23223,Bay of Bengal,17.333,89.483
23226,Arabian Sea,20.2,67.333
23227,Bay of Bengal,6.265,88.653
23228,Arabian Sea,20.764,65.284
23401,"BAY OF BENGAL - 600 NM WNW of Phuket, Thailand",8.86,88.55
23461,"ANDAMAN SEA - 180 NM NW of Phuket, Thailand",9.541,95.668
28401,Kuroshio Extension Observatory (KEO),32.384,144.54
31001,Samba,0,-35
31002,Frevo,4,-38
31003,Para?ba,-8,-30
31004,Salvador,-14,-32
31005,Espirito Santo,-19,-34
31006,NE Extension,4,-23
31007,Jazz,0,-23
32068,"ECUADOR INOCAR - 58 NM West of Manta, Ecuador",-0.888,-81.664
32069,"ECUADOR INOCAR - 71 NM West of Pedernales, Ecuador   ",0.255,-81.211
32303,5N 95W,5,-95
32304,5S 95W,-5,-95
32305,8S 95W,-8,-95
32315,5N 110W,5,-110
32316,2N 110W,2,-110
32317,2S 110W,-2,-110
32318,5S 110W,-5,-110
32319,8S 110W,-8,-110
32320,2N 95W,2,-95
32321,0 95W,0,-95
32322,2S 95W,-2,-95
32323,0 110W,0,-110
32401,"180 NM West of Iquique, Chile",-20.442,-73.422
32402,"180 NM  West of Caldera, Chile",-26.743,-73.983
32403,"91NM West of Antofagasta, Chile",-23.163,-72.037
32404,120 NM NW of Valparaiso,-32.13,-73.797
32411,"WEST PANAMA - 710 NM WSW of Panama City, Panama",4.979,-90.793
32413,"NORTHWEST LIMA - 1000 NM WNW of Lima, Peru",-7.435,-93.442
32489,"Colombia   121NM SW of Buenaventura, Colombia",2.998,-79.101
32st0,Stratus,-22,-85
34420,"119NM NW of Concepcion, Chile",-35.758,-75.243
41001,EAST HATTERAS - 150 NM East of Cape Hatteras,34.703,-72.242
41002,SOUTH HATTERAS - 225 NM South of Cape Hatteras,28.8558,-69.9977
41004,"EDISTO - 41 NM Southeast of Charleston, SC",32.502,-79.099
41008,"GRAYS REEF - 40 NM Southeast of Savannah, GA",31.4,-80.866
41009,"CANAVERAL 20 NM East of Cape Canaveral, FL",28.508,-80.185
41010,CANAVERAL EAST - 120NM East of Cape Canaveral,28.878,-78.467
41013,"Frying Pan Shoals, NC",33.441,-77.764
41024,"Sunset Nearshore, NC (SUN2)",33.837,-78.477
41025,"Diamond Shoals, NC",35.01,-75.454
41026,Forro,12,-38
41029,"Capers Nearshore, SC (CAP2)",32.803,-79.624
41033,"Fripp Nearshore, SC (FRP2)",32.279,-80.406
41037,"Wrightsville Beach Offshore, NC (ILM3)",33.988,-77.362
41038,"Wrightsville Beach Nearshore, NC (ILM2)",34.141,-77.715
41040,NORTH EQUATORIAL ONE- 470 NM East of Martinique,14.536,-53.136
41041,NORTH EQUATORIAL TWO - 890 NM East of Martinique ,14.453,-46.327
41043,"NE PUERTO RICO - 170 NM NNE of San Juan, PR",21.026,-64.793
41044,NE ST MARTIN - 330 NM NE St Martin Is,21.582,-58.63
41046,"EAST BAHAMAS - 335 NM East of San Salvador Is,  Bahamas ",23.822,-68.393
41047,"NE BAHAMAS - 350 NM ENE of Nassau, Bahamas",27.465,-71.452
41048,WEST BERMUDA - 240 NM West of Bermuda,31.831,-69.573
41049,SOUTH BERMUDA - 300 NM SSE of Bermuda,27.505,-62.271
41052,"South of St. John, VI",18.249,-64.763
41053,"San Juan, PR",18.474,-66.099
41056,"Vieques Island, PR",18.261,-65.464
41058,"North of St. Thomas, VI",18.476,-65.157
41064,"Onslow Bay Outer, NC (LEJ3)",34.207,-76.949
41065,Capers Nearshore Waves (CAP2WAVE),32.802,-79.619
41066,CHR60,32.536,-79.656
41067,FRP2WAVE,32.276,-80.406
41068,"Fort Pierce, FL (FTP)",27.593,-80.189
41069,"Ponce de Leon Inlet, FL (PNC)",29.289,-80.803
41070,Ponce de Leon Inlet Waves (PNCWAVE),29.289,-80.803
41076,CHR60WAVE,32.536,-79.659
41082,OOI Pioneer - Mid-Atlantic Bight Central Surface Mooring,35.95,-75.125
41083,OOI Pioneer - Mid-Atlantic Bight Southern Surface Mooring,35.725,-74.853
41108,"Wilmington Harbor, NC - (200)",33.721,-78.016
41110,"Masonboro Inlet, ILM2, NC (150)",34.142,-77.715
41112,"Offshore Fernandina Beach, FL (132)",30.709,-81.292
41113,"Cape Canaveral Nearshore, FL (143)",28.4,-80.533
41114,"Fort Pierce, FL (134)",27.552,-80.216
41115,"Rincon, Puerto Rico (181)",18.376,-67.28
41117,"St. Augustine, FL (194)",29.999,-81.079
41120,"Cape Hatteras East, NC (250)",35.258,-75.285
41121,"Arecibo, Puerto Rico (249)",18.49,-66.701
41122,"Hollywood Beach, FL (265)",26.001,-80.096
41139,,20,-38
41159,"Onslow Bay Outer, NC (217)",34.213,-76.949
41300,West Indies,15.85,-57.467
